type_,address,area,price,metro_station,metro_line,date,update_date,floor,full_floor
3-комн.кв.,", 15",6,13952151,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:09",15,19
3-комн.кв.,"Радужная ул, 4",58,8178440,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,11
1-комн.кв.,"Радужная ул, 4",,4869796,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",12,12
2-комн.кв.,"Радужная ул, 4",35,6285271,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",8,11
3-комн.кв.,"Радужная ул, 4",58,8069994,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,11
3-комн.кв.,"Радужная ул, 4",58,8197993,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",11,11
3-комн.кв.,"Радужная ул, 4",58,8145927,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,11
2-комн.кв.,"Радужная ул, 4",58,7728272,Станция не указана,Ветка не указана,Размещено 19 февраля,30 марта,8,12
2-комн.кв.,", 7",35,7530872,Станция не указана,Ветка не указана,Размещено 26 марта,30 марта,7,17
1-комн.кв.,"Радужная ул, 4",35,7045493,Станция не указана,Ветка не указана,Размещено 19 февраля,30 марта,12,12
3-комн.кв.,"Радужная ул, 4",58,8038882,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",11,11
3-комн.кв.,"Радужная ул, 4",78,9636818,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",12,12
1-комн.кв.,"Радужная ул, 4",6,5525748,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12
1-комн.кв.,"Радужная ул, 4",37,7045493,Станция не указана,Ветка не указана,Размещено 19 февраля,30 марта,11,11
2-комн.кв.,"Радужная ул, 4",38,6317907,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",11,11
3-комн.кв.,"Радужная ул, 4",53,7910963,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",12,12
3-комн.кв.,"Радужная ул, 4",78,9253158,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",8,11
2-комн.кв.,"Радужная ул, 4",58,7757235,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",11,11
3-комн.кв.,"Радужная ул, 4",58,8384307,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",12,12
1-комн.кв.,"Радужная ул, 4",3,6493047,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",9,12
2-комн.кв.,"Радужная ул, 4",54,7947955,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",12,12
2-комн.кв.,"Радужная ул, 4",49,7123690,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",9,12
2-комн.кв.,"Радужная ул, 4",49,7123690,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",9,12
1-комн.кв.,"Радужная ул, 4",3,6493047,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",9,12
